Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges,Generates,Artist,Reminders
,,,Torch!,,,,,"Before the game starts, deal 5 damage to your opponent.",,,,,,,
,,,Serra's Disciple,2,1,,,,,,,,,,
,,,Scion of Ashaya,2,2,,,,,,,,,,
,,,Teferi's Acolyte,2,4,,,,,,,,,,
,,,Absorb,,,,,"If your opponent plays a card that costs 3 or more, counter it and heal yourself for 2.",,,,,,,
,,,Blitzing Minotaur,4,3,,,,,,,,,,
,,,Sun Titan,7,7,,,,,,,,,,
,,,Frost Titan,7,7,,,,,,,,,,
,,,Grave Titan,7,7,,,,,,,,,,
,,,Inferno Titan,7,7,,,,,,,,,,
,,,Primeval Titan,7,7,,,,,,,,,,
,,3,Cerulean Dragon,1,2,,,,,,,,,,
,,,Wintergrip Mage,2,3,,,,,,,,,,
,,,Soulsever Lich,8,4,,,,,,,,,,
,,,Treetop Lookout,3,3,,,,,,,,,,
,,,Bag of Tricks,,,,,,,,,3,,,
,,2,Mindless Rage,,,,,,,,,,,,
,,,Gauntlets of Ogre Power,,,,,,,,,3,,,
,,,Awoken Horror,5,4,,,,,,,,,,
,,,Stitcher's Skaab,1,1,,,,,,,,,,
,,,Wrong Turn,,,,,"Destroy an enemy creature.
Miracle: Costs 4 less this turn.",,,,,,,
,,,Champion of the Perished,3,1,,,,,,,,,,
,,,"Grimgrin, Hulking Skaab",8,7,,,,,,,,,,
,,4,Young Pyromancer,3,3,,,,,,,,,,
,,3,Eternal Phoenix,2,1,,,,,,,,,,
,,,Pasture Prowler,4,4,,,,,,,,,,
,,,"Sigarda, Heron's Grace",4,3,,,,,,,,,,
,,,Alabaster Faith,,,,,"Give a friendly creature +1/+0 and ""Attack: Draw a card.""",,,,,,,
