Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges
C,W,1,Faithful Caracal,2,2,Creature,Cat,Attack: Heal yourself for 2.,Opening Ceremony,,,
C,W,1,Untested Rookie,2,2,Creature,Soldier,"The first time this survives a fight, it gets +2/+2.",Opening Ceremony,,,
C,W,2,Blink Dog Pack,1,1,Creature,Dog,Debut: Summon a copy of this creature.,D&D: Icons,,,
C,W,2,Shieldsmith,2,2,Creature,Dwarf Artificer,Debut: Add a Sturdy Shield to your hand.,Opening Ceremony,,,
C,W,2,Silver Griffin,1,3,Creature,Monster,Flying,Opening Ceremony,,,
C,W,3,Swordsmith,4,3,Creature,Dwarf Artificer,Debut: Add a Sharp Sword to your hand.,Opening Ceremony,,,
C,W,3,Vainglorious Hero,2,2,Creature,Soldier,Debut: Gets +1/+1 for each other friendly creature.,Opening Ceremony,,,
C,W,4,Angel of Mercy,3,2,Creature,Angel,"Flying,
Debut: Heal 3.",Opening Ceremony,,,
C,W,5,Canny Knight,6,6,Creature,Soldier,Can’t be stunned.,Opening Ceremony,,,
C,W,5,Watchful Giant,4,7,Creature,Giant Soldier,"After this blocks, heal yourself for 2.",Opening Ceremony,,,
C,W,6,Pearl Dragon,4,8,Creature,Dragon,Flying,Opening Ceremony,,,
C,W,2,Retaliate,,,Spell,,Deal 4 damage to an enemy creature that attacked last turn.,Opening Ceremony,,,
C,W,2,Revoke,,,Spell,,Stun an enemy creature or destroy an enemy artifact.,Opening Ceremony,,,
C,W,3,Holy Armor,,,Spell,,Give a friendly creature armor and heal yourself for 3.,Opening Ceremony,,,
C,W,1,Beginner’s Luck,,,Trap,,"After a friendly creature survives a fight, give it +3/+3.",Opening Ceremony,,,
C,W,2,Ready to Rumble,,,Trap,,"Before a friendly creature fights, give all friendly creatures +0/+1.",Opening Ceremony,,,
C,W,1,Healer's Kit,,,Artifact,,Activate: Heal anything 1.,D&D: Icons,,,
C,W,2,Weapon Rack,,,Artifact,,Activate: Give a friendly creature +1/+1.,Opening Ceremony,,,
