Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges,Generates,Artist,Reminders
B,W,1,Elite Vanguard,3,1,Creature,Soldier,,Core Set,,,,,Alexandra Frantseva,
B,W,1,Lingering Spirit,1,1,Creature,Spirit,Flying,Core Set,,,,,Maria Poliakova,Flying
B,W,2,Devoted Steed,2,2,Creature,Beast,Debut: Give a friendly creature +1/+1.,Core Set,,,,,Pablo Carpio,Debut
B,W,2,Frontline Paladin,1,3,Creature,Soldier,Armor,Core Set,,,,,Carlos Ruiz,Armor
B,W,2,Leonin Healer,2,3,Creature,Cleric,Debut: Heal 3.,Core Set,,,,,Alexandra Frantseva,Debut
B,W,3,Chapel Geist,2,3,Creature,Spirit,Flying,Core Set,,,,,Quentin Regnes,Flying
B,W,3,Towering Shieldbearer,1,7,Creature,Giant Soldier,,Core Set,,,,,Quientin Regnes,
B,W,4,Ceremonial Guard,5,6,Creature,Giant Soldier,,Core Set,,,,,Arthur Bozonnet,
B,W,4,Knight Militant,4,4,Creature,Soldier,Debut: Summon a Soldier.,Core Set,,,,Soldier,Zoltan Boros,Debut
B,W,5,Knight of the Tusk,5,4,Creature,Soldier,Armor,Core Set,,,,,Arthur Bozonnet,Armor
B,W,5,Rhox Pit Fighter,5,5,Creature,Beast Soldier,Debut: Stun an enemy creature.,Core Set,,,,,David Cserkuti,"Debut;Stun"
B,W,6,Armored Angel,4,4,Creature,Angel,"Flying
Armor",Core Set,,,,,Ahmed Aldoori,"Flying;Armor"
B,W,1,Destabilize,,,Spell,,Set an enemy creature's health to 1.,Core Set,,,,,Karina Khoroshaylo (Room 8),
B,W,2,Mend,,,Spell,,Heal 5.,Core Set,,,,,Emrah Elmasli,
B,W,3,Glorious Anthem,,,Spell,,Give all friendly creatures +1/+1.,Core Set,,,,,Zoltan Boros,
B,W,3,Smite the Monstrous,,,Spell,,Destroy an enemy creature with power 5 or greater.,Core Set,,,,,Wangjie Li,
B,W,4,Thwack!,,,Spell,,Stun up to 2 enemy creatures.,Core Set,,,,,John Donahue,Stun
B,W,1,Shields Up,,,Trap,,"Before a friendly creature fights, give it armor.",Core Set,,,,,Room 8 Studio,"Armor;Trap"
B,W,2,Elixir of Vitality,,,Artifact,,Activate: Heal 2.,Core Set,,,3,,Sam Burley,Activate
B,W,,Plains,,,Land,Basic,,Core Set,,,,,Brian Valeza,
B,U,1,Runeshell Crab,3,3,Creature,Beast,CantAttack,Core Set,,,,,Emrah Elmasli,
B,U,2,Snapshell Turtle,2,4,Creature,Beast,"After you play a trap, gets +1/+0.",Core Set,,,,,Stanislav Lunin (Room 8),
B,U,2,Stone Turtle,0,6,Creature,Beast,,Core Set,,,,,Arthur Bozonnet,
B,U,2,Welkin Tern,2,2,Creature,Bird,Flying,Core Set,,,,,John Thacker,Flying
B,U,3,Stardust Moth,1,5,Creature,Pest,Flying,Core Set,,,,,Jana Schirmer,Flying
B,U,4,Frost Lynx,4,3,Creature,Cat Elemental,Debut: Stun an enemy creature.,Core Set,,,,,Arthur Bozonnet,"Debut;Stun"
B,U,4,Mage of Insight,3,4,Creature,Wizard,Debut: Draw a card.,Core Set,,,,,Brian Valeza,Debut
B,U,4,Phantom Monster,3,3,Creature,Illusion Monster,Flying,Core Set,,,,,Kudaman,Flying
B,U,5,Shimmering Komodo,6,6,Creature,Mystic Beast,Ward,Core Set,,,,,Kudaman,Ward
B,U,6,Mahamoti Djinn,5,6,Creature,Monster,Flying,Core Set,,,,,Emrah Elmasli,Flying
B,U,7,Megapiranha,7,11,Creature,Monster,Ward,Core Set,,,,,Kudaman,Ward
B,U,1,Chill Wind,,,Spell,,Stun an enemy creature.,Core Set,,,,,Zoltan Boros,Stun
B,U,2,Arcane Flight,,,Spell,,Give a friendly creature flying.,Core Set,,,,,John Donahue,Flying
B,U,2,Unsummon,,,Spell,,Return any creature to hand.,Core Set,,,,,Zoltan Boros,
B,U,3,Divination,,,Spell,,Draw 2 cards.,Core Set,,,,,Arash Radkia,
B,U,4,Shell Game,,,Spell,,Transform an enemy creature into a Stone Turtle.,Core Set,,,,Stone Turtle,Pablo Carpio,
B,U,1,Disorient,,,Trap,,"After your opponent attacks, the strongest attacking creature gets -3/-0.",Core Set,,,,,Karina Khoroshaylo (Room 8),"Strongest;Trap"
B,U,3,Call the Wind,,,Trap,,"At the end of your opponent's turn, summon a Wind Elemental.",Core Set,,,,Wind Elemental,Dariya Genrih (Room 8),Trap
B,U,3,Icy Manipulator,,,Artifact,,Activate: Stun an enemy creature.,Core Set,,,2,,Ben Maier,"Activate;Stun"
B,U,,Island,,,Land,Basic,,Core Set,,,,,Yangtian Li,
B,B,1,Decaying Ghoul,1,1,Creature,Zombie,Relentless,Core Set,,,,,David Kegg,Relentless
B,B,2,Daggerclaw Imp,3,1,Creature,Demon,"Flying
Can't block",Core Set,,,,,Kudaman,Flying
B,B,2,Famished Fiend,2,3,Creature,Vampire,Attack: Drain 1 from your opponent.,Core Set,,,,,Quentin de Warren,"Attack;Drain"
B,B,2,Merchant of Death,2,1,Creature,Zombie,Finale: Draw a card.,Core Set,,,,,Emrah Elmasli,Finale
B,B,3,Courtly Killer,3,3,Creature,Vampire Rogue,Sneak,Core Set,,,,,Aron Elekes,Sneak
B,B,3,Recycled Grotesque,6,6,Creature,Zombie,Destroy a friendly creature to summon this from your hand.,Core Set,,,,,Aron Elekes,
B,B,3,Rotting Baboon,3,5,Creature,Zombie Beast,,Core Set,,,,,Carlos Ruiz,
B,B,4,Deathspeaker Naga,5,3,Creature,Snake,Finale: Add a Zombie to your hand.,Core Set,,,,Zombie,Zoltan Boros,Finale
B,B,4,Gravedigger,3,4,Creature,Zombie,Debut: Return the strongest creature from your graveyard to your hand.,Core Set,,,,,David Kegg,"Debut;Strongest"
B,B,4,Peafoul,2,2,Creature,Zombie Bird,"Flying
Relentless",Core Set,,,,,Alex Heath,"Flying;Relentless"
B,B,5,Bloodlord,4,4,Creature,Vampire,Debut: Drain 3 from your opponent.,Core Set,,,,,Arthur Bozonnet,"Debut;Drain"
B,B,5,Dark Gladiator,6,5,Creature,Zombie Soldier,Debut: Give an enemy creature -1/-1.,Core Set,,,,,Halil Ural,Debut
B,B,6,Hulking Zombie,7,3,Creature,Zombie,Relentless,Core Set,,,,,Zoltan Boros,Relentless
B,B,1,Tragic Trip,,,Spell,,Give an enemy creature -1/-1.,Core Set,,,,,David Kegg,
