Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges,Generates,Artist,Reminders
S,GW,1,Ajani's Skirmisher,1,1,Creature,Cat Warrior,"Trample
After you target this, gets +1/+0.",AJA,,,,,Wangjie Li,Trample
S,GW,3,Leonin Kincaller,4,4,Creature,Cat Warrior,Debut: Add a copy of another friendly creature to the top of your deck.,AJA,,,,,Arthur Bozonnet,Debut
S,GW,4,Strength of the Pride,,,Spell,,Give 2 friendly creatures +2/+2.,AJA,,,,,Arthur Bozonnet,
S,GW,,Mentor,,,Special,,"After you target a friendly creature, give the next creature you draw +1/+1.",AJA,,,,,,
S,BR,1,Shipwrecker,2,2,Creature,Pirate,"After this is blocked, deal 2 damage to your opponent.",ANG,,,,,Quentin de Warren,
S,BR,3,Angrath's Deathraider,4,3,Creature,Pirate,"Trample
Debut: If your opponent was dealt damage this turn, draw a card.",ANG,,,,,Jana Schirmer,"Trample;Debut"
S,BR,1,Searing Chains,,,Artifact,,Activate: Deal 1 damage to your opponent.,ANG,,,3,,Arash Radkia,Activate
S,BR,,Hammer Home,,,Special,,Creatures you summon get +1/+0 if your opponent was dealt damage this turn.,ANG,,,,,,
S,UB,2,Shadowmage Saboteur,2,3,Creature,Rogue,Attack: Double all Nightmares you attach this turn.,ASH,,,,,Quentin de Warren,Attack
S,UB,4,Shadowstag,4,5,Creature,Beast,Debut: Reduce the cost of each card in your hand that didn't start in your deck by 1.,ASH,,,,,Arthur Bozonnet,Debut
S,UB,1,Extract Fear,,,Spell,,Draft a copy of a card from your opponent's starting deck and add it to your hand.,ASH,,,,,Aron Elekes,Draft
S,UB,,Weave Nightmares,,,Special,,"After you add a card to your hand that did not start in your deck, or play one of those cards, attach a Nightmare to one of the top 15 cards of your opponent's deck.
After a card is drawn or milled, for each of your Nightmares attached to it, drain 1 your opponent.",ASH,,,,,,
S,R,2,Fire Elemental,3,2,Creature,Elemental,Attack: Deal 2 damage to your opponent.,CHA,,,,,Alexandra Frantseva,Attack
S,R,3,Chandra's Firecrafter,3,3,Creature,Wizard,Debut: Add a random red spell or trap that deals damage to your hand.,CHA,,,,,David Cserkuti,Debut
S,R,4,Flame Shot,,,Spell,,Deal 3 damage to an enemy and 1 damage to each other enemy.,CHA,,,,,David Cserkuti,
S,R,,Torch!,,,Special,,"Before the game starts, deal 4 damage to your opponent.",CHA,,,,,,
S,R,,Splash of Color (Chandra),,,Deckbuilding,,Your deck can have up to 6 cards of a second color.,CHA,,,,,,
S,RG,4,Rampaging Boar,5,4,Creature,Beast,Debut: Your War Boars get +1/+1 for the rest of the game.,DOM,,,,,Aron Elekes,Debut
S,RG,5,Rampaging Nodorog,6,5,Creature,Beast,"Debut: For the rest of the game, your War Boars get either haste or trample.",DOM,,,,"War Boar (Haste);War Boar (Trample)",Halil Ural,"Debut;Haste;Trample"
S,RG,3,Gruul Club,,,Artifact,,Activate: Choose a friendly and enemy creature. They fight!,DOM,,,2,,Dariya Genrih (Room 8),Activate
