Rarity,Color,Cost,Title,Power,Health,Type,SubType,Text,Exp,Legendary,Land Average Percentage to Hit,Charges,Generates,Artist,Reminders
C,W,1,Faithful Caracal,2,2,Creature,Cat,Attack: Heal yourself for 2.,Opening Ceremony,,,,,David Kegg,Attack
C,W,1,Untested Rookie,2,2,Creature,Soldier,"The first time this survives a fight, it gets +2/+2.",Opening Ceremony,,,,,Aron Elekes,
C,W,2,Shieldsmith,2,2,Creature,Dwarf Artificer,Debut: Add a Sturdy Shield to your hand.,Opening Ceremony,,,,Sturdy Shield,Zoltan Boros,Debut
C,W,2,Silver Griffin,1,3,Creature,Monster,Flying,Opening Ceremony,,,,,Brian Valeza,Flying
C,W,3,Swordsmith,4,3,Creature,Dwarf Artificer,Debut: Add a Sharp Sword to your hand.,Opening Ceremony,,,,Sharp Sword,Zoltan Boros,Debut
C,W,3,Vainglorious Hero,2,2,Creature,Soldier,Debut: Gets +1/+1 for each other friendly creature.,Opening Ceremony,,,,,Zoltan Boros,Debut
C,W,4,Angel of Mercy,3,2,Creature,Angel,"Flying
Debut: Heal 3.",Opening Ceremony,,,,,Yangtian Li,"Flying;Debut"
C,W,5,Canny Knight,6,6,Creature,Soldier,Can't be stunned.,Opening Ceremony,,,,,Armand Serrano,Stun
C,W,5,Watchful Giant,4,7,Creature,Giant Soldier,"After this blocks, heal yourself for 2.",Opening Ceremony,,,,,Quentin de Warren,
C,W,6,Pearl Dragon,4,8,Creature,Dragon,Flying,Opening Ceremony,,,,,Emrah Elmasli,Flying
C,W,2,Retaliate,,,Spell,,Deal 4 damage to an enemy creature that attacked last turn.,Opening Ceremony,,,,,Dariya Genrih (Room 8),
C,W,2,Revoke,,,Spell,,Stun an enemy creature or destroy an enemy artifact.,Opening Ceremony,,,,,Brian Valeza,Stun
C,W,3,Holy Armor,,,Spell,,Give a friendly creature armor and heal yourself for 3.,Opening Ceremony,,,,,Aron Elekes,Armor
C,W,1,Beginner's Luck,,,Trap,,"After a friendly creature survives a fight, give it +3/+3.",Opening Ceremony,,,,,Aron Elekes,Trap
C,W,2,Ready to Rumble,,,Trap,,"Before a friendly creature fights, give all friendly creatures +0/+1.",Opening Ceremony,,,,,Brian Valeza,Trap
C,W,2,Weapon Rack,,,Artifact,,Activate: Give a friendly creature +1/+1.,Opening Ceremony,,,2,,Brian Valeza,Activate
R,W,1,Daughter of Runes,1,2,Creature,Cleric,Debut: Give the next creature you draw armor.,Opening Ceremony,,,,,Tomas Muir,"Debut;Armor"
R,W,2,Sun Empire Brawler,3,1,Creature,Warrior,Attack: Gets +1/+1.,Opening Ceremony,,,,,Arash Radkia,Attack
R,W,3,Leonin Warleader,4,3,Creature,Cat Soldier,Attack: Add a random white creature that costs 2 or less to your hand.,Opening Ceremony,,,,,Emrah Elmasli,Attack
R,W,3,Pinpoint Avenger,3,4,Creature,Mystic,Debut: Deal 1 damage to each enemy creature that attacked you last turn.,Opening Ceremony,,,,,Arthur Bozonnet,Debut
R,W,4,Aven Tour Guide,2,3,Creature,Bird Soldier,"Flying
Debut: Give another friendly creature flying this turn.",Opening Ceremony,,,,,Arthur Bozonnet,"Flying;Debut"
R,W,4,Windborne Roc,2,5,Creature,Bird,"Flying
Attack: Heal yourself 1 for each attacker.",Opening Ceremony,,,,,David Cserkuti,"Flying;Attack"
R,W,6,Stronghold Commander,6,5,Creature,Soldier,Debut: Give all other friendly creatures +0/+2.,Opening Ceremony,,,,,Emrah Elmasli,Debut
R,W,2,Drum Up Support,,,Spell,,"Add a Soldier, a Sharp Sword, and a Sturdy Shield to your hand.",Opening Ceremony,,,,"Soldier;Sharp Sword;Sturdy Shield",Room 8 Studio,
R,W,3,Path to Exile,,,Spell,,Destroy an enemy creature. Your opponent gets an empty mana gem.,Opening Ceremony,,,,,Arthur Bozonnet,
R,W,1,Champion's Grit,,,Trap,,"After a friendly creature dies, return it to your hand and give it +1/+1.",Opening Ceremony,,,,,Halil Ural,Trap
R,W,2,Under My Watch,,,Trap,,"If your opponent targets a friendly creature, summon a Knight as the new target.",Opening Ceremony,,,,Knight,Zoltan Boros,Trap
R,W,3,Immolating Glare,,,Trap,,"After your opponent attacks, destroy the strongest attacking creature.",Opening Ceremony,,,,,Ekaterina Anashenkova (Room 8),"Strongest;Trap"
R,W,3,Spirit Vial,,,Artifact,,Activate: Summon a Lingering Spirit.,Opening Ceremony,,,2,Lingering Spirit,Maria Poliakova,Activate
R,W,,Training Yard,,,Land,,"Starting turn 5, you have a chance to add a random white creature that costs 2 or less to your hand and give it +1/+1 instead of getting a mana gem.",Opening Ceremony,,30,,,Alex Heath,
